order_id,order_date,customer_id,customer_segment,country,city,product_category,product_name,quantity,unit_price,discount_applied,tax_amount,total_amount,payment_method,order_status,updated_at
36,30-11-2022,C3429,Consumer,Germany,Munich,Home Appliances,Microwave,5,2392,100,1196,13056,Net Banking,Completed,30-11-2022
37,30-06-2024,C7081,Consumer,India,Bangalore,Home Appliances,Microwave,3,215,100,64.5,609.5,Cash,Completed,30-06-2024
38,29-08-2021,C9576,Corporate,UK,London,Home Appliances,Refrigerator,3,1098,100,329.4,3523.4,UPI,Completed,29-08-2021
39,10-06-2021,C5414,Corporate,India,Mumbai,Home Appliances,Washing Machine,5,1501,150,750.5,8105.5,Net Banking,Cancelled,10-06-2021
40,20-06-2024,C6879,Home Office,USA,Austin,Electronics,Headphones,5,287,0,143.5,1578.5,Credit Card,Completed,20-06-2024
41,10-05-2021,C1048,Corporate,Germany,Munich,Fashion,Jeans,4,2696,0,1078.4,11862.4,Cash,Cancelled,10-05-2021
42,23-02-2022,C8507,Corporate,UK,London,Groceries,Spices,5,535,0,267.5,2942.5,Debit Card,Cancelled,23-02-2022
43,13-02-2023,C9064,Home Office,USA,Chicago,Electronics,Headphones,4,2274,150,909.6,9855.6,UPI,Returned,13-02-2023
44,07-03-2021,C7600,Home Office,India,Mumbai,Groceries,Rice,4,1026,100,410.4,4414.4,UPI,Completed,07-03-2021
45,27-12-2023,C3220,Home Office,Germany,Munich,Groceries,Rice,1,651,0,65.1,716.1,Cash,Completed,27-12-2023
46,23-09-2023,C3313,Corporate,USA,New York,Groceries,Rice,3,2337,150,701.1,7562.1,Net Banking,Cancelled,23-09-2023
47,18-10-2024,C1239,Consumer,India,Chennai,Electronics,Headphones,1,2094,100,209.4,2203.4,Cash,Returned,18-10-2024
48,02-04-2025,C9895,Corporate,USA,San Francisco,Groceries,Oil,4,1121,100,448.4,4832.4,Debit Card,Completed,02-04-2025
49,13-02-2021,C1072,Corporate,India,Chennai,Fashion,Jeans,1,2753,50,275.3,2978.3,UPI,Completed,13-02-2021
50,15-10-2021,C2257,Corporate,UK,London,Groceries,Oil,5,809,0,404.5,4449.5,Debit Card,Returned,15-10-2021
51,24-10-2023,C9498,Home Office,USA,Austin,Home Appliances,Microwave,5,788,100,394,4234,Debit Card,Completed,24-10-2023
52,17-02-2021,C7125,Corporate,India,Chennai,Home Appliances,Microwave,1,2695,50,269.5,2914.5,Cash,Completed,17-02-2021
53,14-11-2024,C6226,Corporate,UK,London,Home Appliances,Microwave,3,2353,150,705.9,7614.9,Debit Card,Returned,14-11-2024
54,10-02-2021,C2451,Corporate,USA,San Francisco,Home Appliances,Microwave,3,256,0,76.8,844.8,Debit Card,Completed,10-02-2021
55,09-07-2023,C2025,Consumer,UK,London,Home Appliances,Washing Machine,1,1394,0,139.4,1533.4,Net Banking,Completed,09-07-2023
56,14-07-2025,C4050,Corporate,USA,New York,Groceries,Spices,2,1287,0,257.4,2831.4,Credit Card,Completed,14-07-2025
57,19-11-2021,C1781,Corporate,India,Delhi,Electronics,Mobile,1,700,50,70,720,Debit Card,Cancelled,19-11-2021
58,28-12-2023,C2967,Consumer,USA,New York,Groceries,Oil,1,1354,150,135.4,1339.4,Cash,Returned,28-12-2023
59,29-01-2024,C9394,Home Office,USA,New York,Fashion,Shoes,5,2959,50,1479.5,16224.5,Cash,Returned,29-01-2024
60,02-12-2022,C2004,Consumer,USA,Chicago,Electronics,Mobile,5,1538,150,769,8309,Net Banking,Cancelled,02-12-2022
61,29-07-2022,C2081,Home Office,USA,New York,Electronics,Laptop,2,941,0,188.2,2070.2,Credit Card,Returned,29-07-2022
62,09-03-2021,C9058,Consumer,India,Bangalore,Fashion,Jeans,4,2215,50,886,9696,Cash,Completed,09-03-2021
63,18-05-2024,C2322,Consumer,Germany,Munich,Electronics,Headphones,4,436,150,174.4,1768.4,Credit Card,Completed,18-05-2024
64,04-03-2023,C1999,Consumer,India,Delhi,Home Appliances,Microwave,5,1279,150,639.5,6884.5,Net Banking,Cancelled,04-03-2023
65,04-06-2021,C7279,Corporate,UK,London,Groceries,Oil,5,747,50,373.5,4058.5,Debit Card,Cancelled,04-06-2021
66,27-07-2021,C4530,Consumer,Germany,Berlin,Home Appliances,Refrigerator,1,870,0,87,957,Debit Card,Cancelled,27-07-2021
67,06-02-2021,C5302,Corporate,Germany,Munich,Fashion,T-Shirt,2,1575,50,315,3415,Debit Card,Returned,06-02-2021
68,04-02-2024,C7519,Corporate,Germany,Munich,Fashion,T-Shirt,3,2091,0,627.3,6900.3,Credit Card,Returned,04-02-2024
69,20-08-2025,C8462,Consumer,UK,Manchester,Electronics,Mobile,3,2755,100,826.5,8991.5,Debit Card,Cancelled,20-08-2025
70,03-11-2022,C1475,Corporate,UK,London,Fashion,Jeans,3,2083,50,624.9,6823.9,Debit Card,Cancelled,03-11-2022
71,23-04-2023,C1513,Consumer,UK,London,Electronics,Laptop,4,725,0,290,3190,Cash,Returned,23-04-2023
72,20-11-2021,C6030,Consumer,Germany,Munich,Home Appliances,Refrigerator,1,2676,150,267.6,2793.6,Debit Card,Completed,20-11-2021
73,04-07-2021,C6812,Corporate,UK,London,Groceries,Oil,1,1225,150,122.5,1197.5,Debit Card,Returned,04-07-2021
74,23-04-2024,C2192,Home Office,Germany,Berlin,Groceries,Spices,4,2745,100,1098,11978,UPI,Completed,23-04-2024
75,07-09-2025,C9397,Corporate,India,Delhi,Groceries,Spices,5,599,150,299.5,3144.5,Cash,Completed,07-09-2025
76,28-06-2023,C2326,Corporate,Germany,Berlin,Groceries,Oil,1,2921,0,292.1,3213.1,UPI,Returned,28-06-2023
77,28-08-2024,C6065,Home Office,USA,New York,Groceries,Oil,2,417,0,83.4,917.4,Net Banking,Returned,28-08-2024
78,28-02-2022,C7688,Corporate,UK,Manchester,Home Appliances,Refrigerator,3,1232,0,369.6,4065.6,Credit Card,Cancelled,28-02-2022
79,16-04-2021,C6183,Home Office,India,Mumbai,Home Appliances,Microwave,2,2707,100,541.4,5855.4,Cash,Completed,16-04-2021
80,03-03-2022,C3943,Corporate,India,Chennai,Electronics,Laptop,1,1486,100,148.6,1534.6,Cash,Completed,03-03-2022
81,21-10-2024,C7859,Consumer,India,Delhi,Groceries,Rice,3,1882,150,564.6,6060.6,Credit Card,Completed,21-10-2024
82,25-02-2023,C6677,Consumer,UK,Manchester,Home Appliances,Microwave,3,838,0,251.4,2765.4,Cash,Returned,25-02-2023
83,28-11-2023,C2887,Corporate,Germany,Berlin,Groceries,Rice,2,2191,100,438.2,4720.2,Debit Card,Completed,28-11-2023
84,10-06-2021,C3572,Home Office,India,Bangalore,Groceries,Oil,5,2661,150,1330.5,14485.5,Credit Card,Completed,10-06-2021
85,14-05-2021,C5302,Consumer,Germany,Berlin,Groceries,Rice,1,2470,0,247,2717,Credit Card,Returned,14-05-2021
86,26-03-2024,C2559,Home Office,Germany,Munich,Home Appliances,Microwave,1,426,0,42.6,468.6,Cash,Cancelled,26-03-2024
87,12-02-2024,C7118,Home Office,India,Chennai,Fashion,T-Shirt,5,1044,0,522,5742,Debit Card,Completed,12-02-2024
88,27-12-2022,C3083,Corporate,Germany,Munich,Fashion,T-Shirt,1,725,0,72.5,797.5,Debit Card,Cancelled,27-12-2022
89,04-12-2025,C2090,Corporate,USA,San Francisco,Home Appliances,Washing Machine,2,1159,0,231.8,2549.8,Credit Card,Completed,04-12-2025
90,07-09-2022,C5029,Corporate,India,Delhi,Electronics,Laptop,5,1988,100,994,10834,UPI,Returned,07-09-2022
91,26-09-2023,C8660,Corporate,Germany,Berlin,Fashion,T-Shirt,1,1411,0,141.1,1552.1,Credit Card,Completed,26-09-2023
92,21-07-2022,C1489,Corporate,Germany,Berlin,Home Appliances,Washing Machine,2,1734,150,346.8,3664.8,UPI,Cancelled,21-07-2022
93,27-05-2021,C3898,Corporate,UK,London,Fashion,Jeans,4,1030,0,412,4532,Debit Card,Completed,27-05-2021
94,08-06-2024,C2811,Consumer,India,Bangalore,Home Appliances,Microwave,4,1450,0,580,6380,Cash,Completed,08-06-2024
95,06-07-2022,C3485,Home Office,USA,San Francisco,Electronics,Laptop,5,1456,150,728,7858,Debit Card,Returned,06-07-2022
96,07-03-2025,C7963,Corporate,USA,Austin,Home Appliances,Microwave,5,2744,50,1372,15042,Credit Card,Returned,07-03-2025
97,28-02-2023,C2633,Home Office,India,Bangalore,Home Appliances,Washing Machine,4,2274,0,909.6,10005.6,Debit Card,Completed,28-02-2023
98,11-03-2025,C8441,Corporate,India,Mumbai,Electronics,Laptop,2,793,0,158.6,1744.6,Debit Card,Cancelled,11-03-2025
99,13-01-2022,C7085,Corporate,UK,Manchester,Home Appliances,Refrigerator,1,290,50,29,269,UPI,Completed,13-01-2022
100,02-06-2024,C4311,Consumer,Germany,Munich,Electronics,Laptop,1,1711,150,171.1,1732.1,Credit Card,Returned,02-06-2024
101,27-10-2024,C8888,Home Office,UK,Manchester,Electronics,Laptop,3,2802,0,840.6,9246.6,Cash,Returned,27-10-2024
102,25-03-2023,C1465,Consumer,India,Chennai,Fashion,Jeans,2,1532,0,306.4,3370.4,Cash,Cancelled,25-03-2023
103,01-12-2021,C4871,Home Office,Germany,Munich,Electronics,Mobile,3,373,50,111.9,1180.9,Cash,Cancelled,01-12-2021
104,12-03-2025,C5641,Home Office,USA,Austin,Home Appliances,Microwave,3,1362,50,408.6,4444.6,Net Banking,Completed,12-03-2025
105,11-10-2023,C7926,Corporate,Germany,Munich,Electronics,Headphones,4,1895,150,758,8188,Credit Card,Cancelled,11-10-2023
106,01-05-2023,C4579,Home Office,USA,Chicago,Groceries,Oil,4,380,0,152,1672,Credit Card,Cancelled,01-05-2023
107,10-05-2023,C9223,Corporate,USA,Austin,Home Appliances,Microwave,1,2254,50,225.4,2429.4,Credit Card,Cancelled,10-05-2023
108,17-02-2021,C1415,Home Office,USA,Chicago,Fashion,Jeans,4,2846,50,1138.4,12472.4,Net Banking,Cancelled,17-02-2021
109,02-08-2024,C7124,Home Office,India,Mumbai,Groceries,Rice,5,410,100,205,2155,Credit Card,Completed,02-08-2024
110,13-10-2024,C6250,Consumer,UK,London,Home Appliances,Microwave,3,1064,50,319.2,3461.2,Debit Card,Returned,13-10-2024
111,14-07-2024,C4884,Consumer,India,Mumbai,Groceries,Spices,1,2874,0,287.4,3161.4,Debit Card,Completed,14-07-2024
112,10-09-2023,C2752,Home Office,Germany,Berlin,Fashion,T-Shirt,5,1820,100,910,9910,Net Banking,Cancelled,10-09-2023
113,16-03-2024,C9869,Consumer,UK,Manchester,Home Appliances,Washing Machine,1,1345,0,134.5,1479.5,Net Banking,Completed,16-03-2024
114,27-06-2024,C4173,Consumer,Germany,Berlin,Groceries,Rice,5,283,100,141.5,1456.5,Debit Card,Completed,27-06-2024
115,27-09-2022,C3511,Consumer,Germany,Munich,Home Appliances,Refrigerator,5,240,150,120,1170,Credit Card,Completed,27-09-2022
116,30-10-2022,C5489,Consumer,USA,New York,Groceries,Rice,3,1454,50,436.2,4748.2,Cash,Completed,30-10-2022
117,29-06-2024,C2786,Consumer,UK,London,Groceries,Rice,3,1074,100,322.2,3444.2,Credit Card,Completed,29-06-2024
118,20-03-2023,C8340,Corporate,India,Mumbai,Electronics,Laptop,5,2714,50,1357,14877,Debit Card,Cancelled,20-03-2023
119,03-06-2022,C8805,Consumer,Germany,Berlin,Home Appliances,Refrigerator,5,563,0,281.5,3096.5,Net Banking,Cancelled,03-06-2022
120,23-02-2023,C6511,Corporate,India,Bangalore,Electronics,Headphones,1,539,50,53.9,542.9,Net Banking,Completed,23-02-2023
121,09-02-2021,C8549,Consumer,UK,London,Home Appliances,Microwave,4,1743,100,697.2,7569.2,UPI,Completed,09-02-2021
122,17-12-2023,C7728,Consumer,UK,Manchester,Home Appliances,Washing Machine,3,684,150,205.2,2107.2,Credit Card,Returned,17-12-2023
123,17-12-2021,C7686,Home Office,Germany,Munich,Fashion,T-Shirt,1,846,0,84.6,930.6,UPI,Completed,17-12-2021
124,12-11-2021,C3234,Home Office,UK,London,Home Appliances,Microwave,3,786,50,235.8,2543.8,UPI,Completed,12-11-2021
125,28-01-2024,C9155,Home Office,UK,Manchester,Groceries,Oil,3,1700,50,510,5560,Net Banking,Returned,28-01-2024
126,21-06-2024,C4077,Corporate,India,Bangalore,Electronics,Laptop,4,2387,100,954.8,10402.8,UPI,Cancelled,21-06-2024
127,18-12-2022,C3412,Home Office,USA,Austin,Fashion,Shoes,2,1192,0,238.4,2622.4,UPI,Completed,18-12-2022
128,25-03-2022,C4231,Corporate,UK,London,Groceries,Oil,3,584,0,175.2,1927.2,Debit Card,Returned,25-03-2022
129,11-12-2023,C7115,Consumer,Germany,Berlin,Home Appliances,Washing Machine,1,2261,0,226.1,2487.1,Net Banking,Cancelled,11-12-2023
130,22-01-2024,C2498,Consumer,USA,San Francisco,Home Appliances,Refrigerator,5,2182,0,1091,12001,Cash,Returned,22-01-2024
131,13-11-2023,C5041,Corporate,USA,San Francisco,Groceries,Rice,3,1938,100,581.4,6295.4,Net Banking,Cancelled,13-11-2023
132,20-06-2025,C5248,Consumer,India,Bangalore,Fashion,Shoes,1,705,0,70.5,775.5,Cash,Completed,20-06-2025
133,27-05-2024,C4893,Corporate,UK,Manchester,Groceries,Spices,1,2195,100,219.5,2314.5,Debit Card,Cancelled,27-05-2024
134,18-09-2024,C5155,Consumer,UK,London,Groceries,Oil,1,726,150,72.6,648.6,Cash,Completed,18-09-2024
135,15-03-2024,C4910,Consumer,India,Mumbai,Home Appliances,Refrigerator,4,1056,0,422.4,4646.4,Debit Card,Returned,15-03-2024
136,04-09-2023,C3604,Home Office,Germany,Munich,Fashion,Jeans,4,2968,0,1187.2,13059.2,Debit Card,Returned,04-09-2023
137,18-09-2021,C3572,Corporate,Germany,Munich,Groceries,Oil,1,953,100,95.3,948.3,UPI,Cancelled,18-09-2021
138,19-02-2024,C2944,Consumer,UK,Manchester,Groceries,Spices,3,1083,100,324.9,3473.9,Credit Card,Returned,19-02-2024
139,14-11-2023,C8929,Consumer,UK,Manchester,Groceries,Oil,5,1310,0,655,7205,Cash,Cancelled,14-11-2023
140,10-10-2024,C5930,Corporate,India,Mumbai,Home Appliances,Microwave,5,1720,50,860,9410,UPI,Returned,10-10-2024
141,22-02-2021,C8774,Home Office,India,Delhi,Home Appliances,Washing Machine,5,2174,50,1087,11907,Net Banking,Cancelled,22-02-2021
142,05-08-2024,C5777,Corporate,USA,San Francisco,Fashion,Shoes,3,2470,0,741,8151,Debit Card,Returned,05-08-2024
143,14-06-2023,C4559,Home Office,USA,Austin,Home Appliances,Microwave,1,204,0,20.4,224.4,Net Banking,Returned,14-06-2023
144,19-04-2024,C2154,Home Office,India,Mumbai,Fashion,Shoes,1,535,0,53.5,588.5,Net Banking,Cancelled,19-04-2024
145,05-11-2021,C3973,Consumer,Germany,Berlin,Home Appliances,Washing Machine,3,2757,0,827.1,9098.1,UPI,Returned,05-11-2021
146,23-06-2025,C3022,Consumer,Germany,Munich,Electronics,Mobile,4,704,100,281.6,2997.6,UPI,Cancelled,23-06-2025
147,21-03-2022,C8635,Consumer,UK,Manchester,Groceries,Oil,5,2667,50,1333.5,14618.5,UPI,Returned,21-03-2022
148,21-05-2025,C9979,Home Office,India,Delhi,Fashion,T-Shirt,2,1290,50,258,2788,Debit Card,Returned,21-05-2025
149,04-08-2022,C7038,Consumer,India,Delhi,Home Appliances,Microwave,2,2448,0,489.6,5385.6,Cash,Cancelled,04-08-2022
150,22-12-2021,C8952,Consumer,Germany,Munich,Fashion,Shoes,5,2920,0,1460,16060,Cash,Cancelled,22-12-2021
151,02-11-2025,C5981,Corporate,USA,San Francisco,Electronics,Mobile,2,1925,0,385,4235,Debit Card,Returned,02-11-2025
152,15-07-2023,C2044,Corporate,Germany,Munich,Groceries,Rice,3,858,150,257.4,2681.4,Net Banking,Cancelled,15-07-2023
153,02-04-2021,C7515,Consumer,Germany,Munich,Groceries,Rice,4,2802,0,1120.8,12328.8,Cash,Returned,02-04-2021
154,26-04-2024,C5400,Consumer,UK,Manchester,Fashion,Shoes,4,1497,50,598.8,6536.8,Debit Card,Completed,26-04-2024
155,24-07-2022,C4970,Corporate,India,Chennai,Groceries,Rice,2,1407,0,281.4,3095.4,Debit Card,Cancelled,24-07-2022
156,09-12-2025,C5351,Corporate,India,Mumbai,Home Appliances,Washing Machine,2,1807,150,361.4,3825.4,Cash,Cancelled,09-12-2025
157,17-12-2022,C3375,Corporate,USA,San Francisco,Groceries,Spices,5,260,50,130,1380,UPI,Returned,17-12-2022
158,09-01-2024,C1334,Corporate,India,Chennai,Groceries,Oil,1,2755,0,275.5,3030.5,Credit Card,Cancelled,09-01-2024
159,09-07-2024,C4548,Home Office,UK,London,Fashion,Jeans,4,2422,0,968.8,10656.8,Cash,Cancelled,09-07-2024
160,29-09-2021,C2039,Home Office,India,Bangalore,Fashion,Jeans,1,1632,0,163.2,1795.2,Credit Card,Returned,29-09-2021
161,01-11-2024,C6890,Home Office,India,Delhi,Electronics,Laptop,5,507,0,253.5,2788.5,Cash,Cancelled,01-11-2024
162,07-05-2024,C1585,Corporate,India,Bangalore,Electronics,Laptop,2,1658,0,331.6,3647.6,Cash,Returned,07-05-2024
163,13-08-2025,C9894,Consumer,USA,New York,Fashion,Shoes,2,1431,150,286.2,2998.2,Debit Card,Returned,13-08-2025
164,27-05-2022,C9250,Consumer,UK,Manchester,Electronics,Mobile,5,1220,100,610,6610,Debit Card,Returned,27-05-2022
165,11-04-2024,C9830,Home Office,Germany,Berlin,Fashion,Shoes,4,2916,100,1166.4,12730.4,Credit Card,Cancelled,11-04-2024
166,05-07-2024,C2872,Consumer,UK,Manchester,Groceries,Spices,4,534,0,213.6,2349.6,Debit Card,Returned,05-07-2024
167,25-04-2022,C5438,Home Office,UK,Manchester,Home Appliances,Washing Machine,4,2948,150,1179.2,12821.2,Debit Card,Returned,25-04-2022
168,01-08-2025,C7619,Home Office,Germany,Munich,Electronics,Laptop,3,2577,0,773.1,8504.1,Net Banking,Completed,01-08-2025
169,11-12-2025,C5651,Home Office,Germany,Munich,Home Appliances,Microwave,1,1674,150,167.4,1691.4,Net Banking,Completed,11-12-2025
170,19-07-2023,C1670,Home Office,USA,New York,Home Appliances,Refrigerator,1,1222,50,122.2,1294.2,Net Banking,Returned,19-07-2023
171,15-12-2025,C7087,Home Office,Germany,Munich,Groceries,Rice,3,1163,150,348.9,3687.9,Credit Card,Completed,15-12-2025
172,23-03-2023,C1038,Home Office,Germany,Munich,Groceries,Spices,1,1810,0,181,1991,Credit Card,Completed,23-03-2023
173,04-04-2024,C6909,Corporate,Germany,Berlin,Fashion,T-Shirt,2,1304,100,260.8,2768.8,Debit Card,Returned,04-04-2024
174,10-11-2022,C9523,Home Office,UK,London,Electronics,Headphones,5,739,0,369.5,4064.5,Cash,Returned,10-11-2022
175,17-08-2021,C9600,Corporate,Germany,Munich,Groceries,Oil,4,2312,50,924.8,10122.8,UPI,Cancelled,17-08-2021
176,19-06-2024,C9806,Consumer,USA,San Francisco,Home Appliances,Microwave,3,2738,50,821.4,8985.4,Debit Card,Returned,19-06-2024
177,09-03-2023,C9051,Corporate,India,Mumbai,Home Appliances,Refrigerator,1,467,0,46.7,513.7,Debit Card,Completed,09-03-2023
178,15-03-2023,C6253,Consumer,Germany,Munich,Groceries,Rice,3,1526,100,457.8,4935.8,Credit Card,Returned,15-03-2023
179,28-08-2021,C9735,Consumer,UK,London,Groceries,Oil,2,2756,50,551.2,6013.2,UPI,Completed,28-08-2021
180,27-03-2021,C5344,Home Office,India,Bangalore,Electronics,Headphones,1,396,150,39.6,285.6,Cash,Returned,27-03-2021
181,23-05-2023,C4583,Consumer,Germany,Berlin,Home Appliances,Washing Machine,1,2550,0,255,2805,Debit Card,Returned,23-05-2023
182,01-03-2023,C5891,Corporate,Germany,Berlin,Fashion,Shoes,1,2374,100,237.4,2511.4,Net Banking,Completed,01-03-2023
183,04-03-2022,C5596,Corporate,USA,Austin,Fashion,Shoes,1,1896,150,189.6,1935.6,Debit Card,Returned,04-03-2022
184,15-09-2021,C5855,Home Office,India,Delhi,Groceries,Rice,1,2706,0,270.6,2976.6,Debit Card,Cancelled,15-09-2021
185,17-10-2024,C3111,Corporate,India,Bangalore,Fashion,Jeans,4,595,0,238,2618,Debit Card,Cancelled,17-10-2024
186,04-09-2023,C2541,Consumer,UK,London,Groceries,Rice,2,2650,150,530,5680,Debit Card,Cancelled,04-09-2023
187,13-12-2021,C9735,Corporate,USA,Austin,Groceries,Oil,4,2987,100,1194.8,13042.8,UPI,Returned,13-12-2021
188,30-12-2025,C4461,Home Office,Germany,Berlin,Fashion,T-Shirt,2,572,100,114.4,1158.4,Cash,Cancelled,30-12-2025
189,19-01-2025,C6070,Home Office,India,Delhi,Home Appliances,Washing Machine,3,1075,50,322.5,3497.5,Debit Card,Cancelled,19-01-2025
190,23-05-2024,C8492,Corporate,USA,San Francisco,Fashion,Shoes,1,874,150,87.4,811.4,Cash,Returned,23-05-2024
191,15-10-2021,C3161,Home Office,India,Mumbai,Home Appliances,Microwave,4,1834,50,733.6,8019.6,Cash,Cancelled,15-10-2021
192,20-06-2025,C1689,Consumer,India,Delhi,Home Appliances,Microwave,1,866,100,86.6,852.6,Credit Card,Completed,20-06-2025
193,28-06-2022,C7327,Home Office,Germany,Berlin,Home Appliances,Microwave,5,1291,0,645.5,7100.5,UPI,Returned,28-06-2022
194,26-07-2021,C8922,Corporate,USA,Chicago,Electronics,Headphones,3,2804,100,841.2,9153.2,Debit Card,Completed,26-07-2021
195,09-12-2024,C7599,Home Office,UK,Manchester,Electronics,Laptop,3,1974,150,592.2,6364.2,UPI,Completed,09-12-2024
196,23-11-2022,C3720,Consumer,India,Delhi,Home Appliances,Refrigerator,5,2597,150,1298.5,14133.5,UPI,Cancelled,23-11-2022
197,24-03-2024,C2841,Consumer,Germany,Berlin,Electronics,Laptop,4,204,100,81.6,797.6,Credit Card,Completed,24-03-2024
198,12-03-2024,C8276,Home Office,UK,London,Fashion,Jeans,5,2343,50,1171.5,12836.5,UPI,Completed,12-03-2024
199,04-07-2022,C3809,Consumer,India,Delhi,Home Appliances,Microwave,5,1889,50,944.5,10339.5,Cash,Completed,04-07-2022
200,08-09-2022,C8486,Corporate,India,Bangalore,Fashion,Shoes,2,1826,150,365.2,3867.2,Cash,Cancelled,08-09-2022
201,05-05-2024,C4184,Consumer,India,Delhi,Groceries,Spices,2,1005,0,201,2211,Debit Card,Completed,05-05-2024
202,31-10-2025,C4050,Home Office,Germany,Munich,Groceries,Spices,3,1004,150,301.2,3163.2,Debit Card,Returned,31-10-2025
203,14-01-2021,C1319,Corporate,USA,San Francisco,Fashion,T-Shirt,5,1133,0,566.5,6231.5,Debit Card,Returned,14-01-2021
